University,Programme,Faculty,Field,Tuition Fees,Location
UMP,Bachelor of Mechatronic Engineering Technology (Robotics) with Honours,College of Technology Engineering,Engineering,740,West
UMP,Bachelor of Manufacturing Engineering Technology (Industrial Automation) with Honours,College of Technology Engineering,Engineering,740,West
UMP,Bachelor of Engineering Technology (Manufacturing) With Hons.,College of Technology Engineering,Engineering,740,West
UMP,Bachelor of Electronics Engineering Technology (Computer System ) With Honours,College of Technology Engineering,Engineering,740,West
UMP,Bachelor of Electrical Engineering Technology (Power & Machine) With Honours,College of Technology Engineering,Engineering,740,West
UMP,Bachelor of Engineering Technology (Electrical) With Hons.,College of Technology Engineering,Engineering,740,West
UMP,Bachelor of Applied Science (Hons) Industrial Biotechnology,College of Computing and Applied Sciences,Science,660,West
UMP,Bachelor of Applied Science (Hons) Industrial Chemistry,College of Computing and Applied Sciences,Science,660,West
UMP,Bachelor of Applied Science (Hons) Material Technology,College of Computing and Applied Sciences,Science,660,West
UMP,Bachelor of Applied Science (Honours) Data Analytics,College of Computing and Applied Sciences,Science,660,West
UMP,Bachelor of Occupational Safety & Health With Honours,College of Computing and Applied Sciences,Science,660,West
UMP,Bachelor of Computer Science (Software Engineering) with Honours,College of Computing and Applied Sciences,Computing & IT,660,West
UMP,Bachelor of Computer Science (Graphics & Multimedia Technology) with Honours,College of Computing and Applied Sciences,Computing & IT,660,West
UMP,Bachelor of Computer Science (Computer Systems & Networking) with Honours,College of Computing and Applied Sciences,Computing & IT,660,West
UMP,Bachelor of Business Engineering With Honours,College of Management and Humanities,Business Management & Administration,550,West
UMP,Bachelor of Project Management with Honours,College of Management and Humanities,Business Management & Administration,550,West
UMP,Bachelor of Industrial Technology Management with Honours,College of Management and Humanities,Business Management & Administration,550,West
UMP,Bachelor of Automotive Technology With Honours,College of Technology Engineering,Engineering,846,West
UMP,Bachelor of Industrial Electronics Automation Technology With Honours,College of Technology Engineering,Engineering,846,West
UMP,Bachelor of Electrical Systems Maintenance Technology With Honours,College of Technology Engineering,Engineering,846,West
UMP,Bachelor of Technology In Oil & Gas Facilities Maintenance With Honours,College of Technology Engineering,Engineering,846,West
UMP,Bachelor of Technology Industrial Machining With Honours,College of Technology Engineering,Engineering,846,West
UMP,Bachelor of Welding Technology With Honours,College of Technology Engineering,Engineering,846,West
UNIMAP,Bachelor of Civil Engineering with Honours,School of Environmental Engineering,Engineering,1410,West
UNIMAP,Bachelor of Environmental Engineering With Honours,School of Environmental Engineering,Engineering,1410,West
UNIMAP,Bachelor of Microelectronic Engineering with Honours,School of Microelectronic Engineering,Engineering,1410,West
UNIMAP,Bachelor of Electronic Engineering with Honours,School of Microelectronic Engineering,Engineering,1410,West
UNIMAP,Bachelor Of Mechanical Engineering With Honours,School of Mechatronic Engineering,Engineering,1410,West
UNIMAP,Bachelor of Mechatronic Engineering With Honours,School of Mechatronic Engineering,Engineering,1410,West
UNIMAP,Bachelor of Biomedical Electronic Engineering With Honours,School of Mechatronic Engineering,Engineering,1410,West
UNIMAP,Bachelor of Materials Engineering With Honours,School of Materials Engineering,Engineering,1410,West
UNIMAP,Bachelor of Polymer Engineering With Honours,School of Materials Engineering,Engineering,1410,West
UNIMAP,Bachelor of Manufacturing Engineering With Honours,School of Manufacturing Engineering,Engineering,1410,West
UNIMAP,Bachelor of Computer Engineering With Honours,School of Computer & Communication Engineering,Engineering,1410,West
UNIMAP,Bachelor of Electrical Engineering With Honours,School of Electrical System Engineering,Engineering,1410,West
UNIMAP,Bachelor of Chemical Engineering With Honours,School of Bioprocess Engineering,Engineering,1410,West
UNIMAP,Bachelor of Agricultural Engineering With Honours,School of Bioprocess Engineering,Engineering,1410,West
UNIMAP,Bachelor of Business (Honours) (International Business),School of Business Innovation and Technopreneurship,Business Management & Administration,1260,West
UNIMAP,Bachelor of Business (Honours) (Engineering Entrepreneurship),School of Business Innovation and Technopreneurship,Business Management & Administration,1260,West
UNIMAP,Bachelor of New Media Communication (Hons.),School of Human Development and Technocommunication,Communication & Broadcasting,1260,West
UNIMAP,Bachelor of Chemical Engineering Technology (Hons.) (Food Technology),Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Civil Engineering Technology (Hons.) (Construction),Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Chemical Engineering Technology (Hons.) (Industrial Chemical Process),Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Chemical Engineering Technology (Hons.) (Industrial Biotechnology),Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Electrical Engineering Technology (Hons.) (Industrial Power),Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Electrical Engineering Technology (Hons.)(Robotic and Automation Technology),Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Electronic Engineering Technology (Hons.) (Electronic System),Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Electronic Engineering Technology (Hons.) (Electronic Telecommunication Design),Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Electronic Engineering Technology (Hons.) (Electronic Network Design),Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Mechanical Engineering Technology (Hons.) (Machining),Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Mechanical Engineering Technology (Hons.) (Agriculture System),Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Mechanical Engineering Technology (Hons.) (Product Development),Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Mechanical Engineering Technology (Hons.) (Material Processing),Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Technology in Welding with Honours,Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Technology in Industrial Machining with Honours,Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Technology in Electrical Maintenance System with Honours,Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Technology in Industrial Electronic Automation with Honours,Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Technology in Automotive with Honours,Faculty of Engineering Technology,Engineering,1900,West
UNIMAP,Bachelor of Technology in Building Construction with Honours,Faculty of Engineering Technology,Engineering,1900,West
UNIMAS,Bachelor of Computer Science with Honours (Computational Science),Faculty of Computer Science and Information Technology,Computing & IT,660,East
UNIMAS,Bachelor of Computer Science with Honours (Information Systems),Faculty of Computer Science and Information Technology,Computing & IT,660,East
UNIMAS,Bachelor of Computer Science with Honours (Multimedia Computing),Faculty of Computer Science and Information Technology,Computing & IT,660,East
UNIMAS,Bachelor of Computer Science with Honours (Software Engineering),Faculty of Computer Science and Information Technology,Computing & IT,660,East
UNIMAS,Bachelor of Computer Science with Honours (Network Computing),Faculty of Computer Science and Information Technology,Computing & IT,660,East
UNIMAS,Bachelor of Civil Engineering With Honours,Faculty of Engineering,Engineering,700,East
UNIMAS,Bachelor of Electrical And Electronics Engineering With Honours,Faculty of Engineering,Engineering,700,East
UNIMAS,Bachelor of Mechanical Engineering With Honours,Faculty of Engineering,Engineering,700,East
UNIMAS,Bachelor of Chemical Engineering With Honours,Faculty of Engineering,Engineering,700,East
UNIMAS,Doctor of Medicine,Faculty of Medicine and Health Sciences,Medicine & Healthcare,900,East
UNIMAS,Bachelor of Nursing,Faculty of Medicine and Health Sciences,Medicine & Healthcare,660,East
UNIMAS,Bachelor of Social Sciences (Hons) Industrial Relations And Labour Studies,Faculty of Social Sciences,Social Sciences,550,East
UNIMAS,Bachelor of Social Sciences (Hons) Anthropology And Sociology,Faculty of Social Sciences,Social Sciences,550,East
UNIMAS,Bachelor of Social Sciences (Hons) International Studies,Faculty of Social Sciences,Social Sciences,550,East
UNIMAS,Bachelor of Social Sciences (Hons) Politics And Government Studies,Faculty of Social Sciences,Social Sciences,550,East
UNIMAS,Bachelor of Social Sciences (Hons) Development Planning And Management,Faculty of Social Sciences,Social Sciences,550,East
UNIMAS,Bachelor of Social Sciences (Hons) Social Work Studies from FSSH,Faculty of Social Sciences,Social Sciences,550,East
UNIMAS,Bachelor of Arts In English For Global Communication (With Honours),Faculty of Language and Communication,Communication & Broadcasting,1533,East
UNIMAS,Bachelor of Arts With Honours (Linguistics),Faculty of Language and Communication,Communication & Broadcasting,1533,East
UNIMAS,Bachelor of Communication (Hons) (Strategic Communication),Faculty of Language and Communication,Communication & Broadcasting,1533,East
UNIMAS,Bachelor of Economics (Hons.) Service Economics from FEB,Faculty of Economics and Business,Business Management & Administration,1700,East
UNIMAS,Bachelor of Economics (Hons.) Business Economics,Faculty of Economics and Business,Business Management & Administration,1700,East
UNIMAS,Bachelor of Finance (Hons.),Faculty of Economics and Business,Accounting & Finance,1700,East
UNIMAS,Bachelor of Economics With Honours (International Economics),Faculty of Economics and Business,Business Management & Administration,1700,East
UNIMAS,Bachelor of Business Administration (Hons.) Marketing,Faculty of Economics and Business,Business Management & Administration,1700,East
UNIMAS,Bachelor of Business Administration With Honours (Corporate Management),Faculty of Economics and Business,Business Management & Administration,1700,East
UNIMAS,Bachelor of Science With Honours (Human Resource Development),Faculty of Cognitive Sciences and Human Development,Science,660,East
UNIMAS,Bachelor of Counselling With Honours,Faculty of Cognitive Sciences and Human Development,Education,660,East
UNIMAS,Bachelor of Psychology With Honours,Faculty of Cognitive Sciences and Human Development,Education,660,East
UNIMAS,Bachelor of Applied Arts With Honours (Drama And Theater),Faculty of Applied and Creative Arts,Arts & Design,550,East
UNIMAS,Bachelor of Applied Arts With Honours (Design Technology),Faculty of Applied and Creative Arts,Arts & Design,550,East
UNIMAS,Bachelor of Applied Arts With Honours (Fine Art),Faculty of Applied and Creative Arts,Arts & Design,550,East
UNIMAS,Bachelor of Applied Arts With Honours (Cinematography),Faculty of Applied and Creative Arts,Arts & Design,550,East
UNIMAS,Bachelor of Applied Arts With Honours (Music),Faculty of Applied and Creative Arts,Arts & Design,550,East
UNIMAS,Bachelor of Creative Arts With Honours (Animation Programme),Faculty of Applied and Creative Arts,Arts & Design,550,East
UNIMAS,Bachelor of Applied Arts With Honours (Arts Management),Faculty of Applied and Creative Arts,Arts & Design,550,East
UNIMAS,Bachelor of Science with Honours (Resource Biotechnology),Faculty of Resource Science and Technology,Science,660,East
UNIMAS,Bachelor of Science with Honours (Resource Chemistry),Faculty of Resource Science and Technology,Science,660,East
UNIMAS,Bachelor of Science with Honours (Aquatic Resource Science and Management),Faculty of Resource Science and Technology,Science,660,East
UNIMAS,Bachelor of Science with Honours (Plant Resource Science and Management),Faculty of Resource Science and Technology,Science,660,East
UNIMAS,Bachelor of Science with Honours (Animal Resource Science and Management),Faculty of Resource Science and Technology,Science,660,East
UNIMAS,Bachelor of Sciences with Honours (Cognitive Science),Faculty of Cognitive Sciences and Human Development,Science,660,East
UNIMAS,"Bachelor of Social Sciences (Hons,) Industrial Relations and Labour Studies",Faculty of Social Sciences,Social Services,550,East
UNIMAS,Bachelor of Science with Honours (Resource Biotechnology),Faculty of Resource Science and Technology,Science,660,East
UNIMAS,Bachelor of Science (Hons) Architecture,Faculty of Built Environment,Architecture & Building,1200,East
UNIMAS,Bachelor of Quantity Surveying (Hons),Faculty of Built Environment,Architecture & Building,1200,East
UMS,Bachelor of Engineering with Honours (Electrical and Electronic Engineering),Faculty of Engineering,Engineering,1040,East
UMS,Bachelor of Engineering with Honours (Chemical Engineering),Faculty of Engineering,Engineering,1040,East
UMS,Bachelor of Engineering with Honours (Civil Engineering),Faculty of Engineering,Engineering,1040,East
UMS,Bachelor of Engineering with Honours (Mechanical Engineering),Faculty of Engineering,Engineering,1040,East
UMS,Bachelor of Engineering with Honours (Computer Engineering),Faculty of Engineering,Engineering,1040,East
UMS,Bachelor of Psychology With Honours (Industrial And Organisational ),Faculty of Psychology and Education,Education,865,East
UMS,Bachelor of Psychology With Honours (Youth and Community Development),Faculty of Psychology and Education,Education,865,East
UMS,Bachelor of Psychology With Honours (Counselling Psychology),Faculty of Psychology and Education,Education,865,East
UMS,Bachelor of Psychology With Honours (Child And Family Psychology),Faculty of Psychology and Education,Education,865,East
UMS,Bachelor of Social Work with Honours,Faculty of Psychology and Education,Education,865,East
UMS,Bachelor of Sport Science With Honours,Faculty of Psychology and Education,Education,865,East
UMS,Bachelor of Education with Honours (Education with TESL),Faculty of Psychology and Education,Education,865,East
UMS,Bachelor of Education With Honours (Education With Science),Faculty of Psychology and Education,Education,865,East
UMS,Bachelor of Education With Honours (Education With Social Science),Faculty of Psychology and Education,Education,865,East
UMS,Bachelor of Education With Honours (Education With Economics),Faculty of Psychology and Education,Education,865,East
UMS,Bachelor of Social Science With Honours (Communications),"Faculty of Humanities, Arts and Heritage",Humanities,865,East
UMS,Bachelor of Social Science With Honours (Industrial Relations),"Faculty of Humanities, Arts and Heritage",Humanities,865,East
UMS,Bachelor of Social Science With Honours (Sociology and Social Anthropology),"Faculty of Humanities, Arts and Heritage",Humanities,865,East
UMS,Bachelor of Social Science With Honours (International Relations),"Faculty of Humanities, Arts and Heritage",Humanities,865,East
UMS,Bachelor of Social Science With Honours (Geography),"Faculty of Humanities, Arts and Heritage",Humanities,865,East
UMS,Bachelor of Social Science With Honours (History),"Faculty of Humanities, Arts and Heritage",Humanities,865,East
UMS,Bachelor of Arts With Honour (Music Arts),"Faculty of Humanities, Arts and Heritage",Arts & Design,865,East
UMS,Bachelor of Arts With Honour (Creative Arts),"Faculty of Humanities, Arts and Heritage",Arts & Design,865,East
UMS,Bachelor of Visual Arts Technology with Honours,"Faculty of Humanities, Arts and Heritage",Arts & Design,865,East
UMS,Bachelor of Science With Honours (Biotechnology),Faculty of Science and Natural Resources,Science,960,East
UMS,Bachelor of Science With Honours (Conservation Biology),Faculty of Science and Natural Resources,Science,960,East
UMS,Bachelor of Science With Honours (Industrial Chemistry),Faculty of Science and Natural Resources,Science,960,East
UMS,Bachelor of Science With Honours (Mathematics With Economics),Faculty of Science and Natural Resources,Science,960,East
UMS,Bachelor of Science with Honours (Mathematics with Computer Graphics),Faculty of Science and Natural Resources,Science,960,East
UMS,Bachelor of Science With Honours (Environmental Science),Faculty of Science and Natural Resources,Science,960,East
UMS,Bachelor of Science With Honours (Geology),Faculty of Science and Natural Resources,Science,960,East
UMS,Bachelor of Science With Honours (Physics With Electronics),Faculty of Science and Natural Resources,Science,960,East
UMS,Bachelor of Science With Honours (Aquaculture),Faculty of Science and Natural Resources,Science,960,East
UMS,Bachelor of Science With Honours (Marine Science),Faculty of Science and Natural Resources,Science,960,East
UMS,Bachelor of Forestry Science With Honours (International Tropical Forestry),Faculty of Science and Natural Resources,Science,960,East
UMS,Bachelor of Forestry Science With Honours (Nature Parks & Recreation),Faculty of Science and Natural Resources,Science,960,East
UMS,Bachelor of Forestry Science With Honours (Forest Plantation & Agroforestry),Faculty of Science and Natural Resources,Science,960,East
UMS,Bachelor of Forestry Science With Honours (Wood Fibre Technology And Industry),Faculty of Science and Natural Resources,Science,960,East
UMS,Bachelor of International Business (International Finance) with Honours,Labuan Faculty of International Finance,Accounting & Finance,865,East
UMS,Bachelor of Science (International Banking) With Honours,Labuan Faculty of International Finance,Accounting & Finance,865,East
UMS,Bachelor of Science (International Marketing) With Honours,Labuan Faculty of International Finance,Accounting & Finance,865,East
UMS,Bachelor of International Finance With Honours (International Financial Economics),Labuan Faculty of International Finance,Accounting & Finance,865,East
UMS,Bachelor of Islamic Finance with Honours,Labuan Faculty of International Finance,Accounting & Finance,865,East
UMS,Bachelor of Accounting With Honours,"Faculty of Business, Economics and Accounting",Business Management & Administration,865,East
UMS,Bachelor of Business With Honours (Entrepreneurship),"Faculty of Business, Economics and Accounting",Business Management & Administration,865,East
UMS,Bachelor of Economics With Honours (Planning & Development Economics),"Faculty of Business, Economics and Accounting",Business Management & Administration,865,East
UMS,Bachelor of Business With Honours (Financial Banking And Management),"Faculty of Business, Economics and Accounting",Business Management & Administration,865,East
UMS,Bachelor of Economics With Honours (Monetory/Financial Economics),"Faculty of Business, Economics and Accounting",Business Management & Administration,865,East
UMS,Bachelor of Business With Honours (Hotel Management),"Faculty of Business, Economics and Accounting",Business Management & Administration,865,East
UMS,Bachelor of Business With Honours (International Business),"Faculty of Business, Economics and Accounting",Business Management & Administration,865,East
UMS,Bachelor of Business With Honours (Marketing),"Faculty of Business, Economics and Accounting",Business Management & Administration,865,East
UMS,Bachelor of Economics With Honours ( Human Resource Economics),"Faculty of Business, Economics and Accounting",Business Management & Administration,865,East
UMS,Bachelor of Business with Honours (Tourism Management),"Faculty of Business, Economics and Accounting",Business Management & Administration,865,East
UMS,Bachelor of Agricultural Science with Honours (Crop Production),Faculty of Sustainable Agriculture,"Agriculture, Forestry, Fishery & Veterinary",960,East
UMS,Bachelor of Agricultural Science with Honours (Horticulture and Landscaping),Faculty of Sustainable Agriculture,"Agriculture, Forestry, Fishery & Veterinary",960,East
UMS,Bachelor of Agricultural Science with Honours (Livestock Production),Faculty of Sustainable Agriculture,"Agriculture, Forestry, Fishery & Veterinary",960,East
UMS,Doctor of Medicine (MD),Faculty of Medicine and Health Sciences,Medicine & Healthcare,960,East
UMS,Bachelor of Computer Science With Honours (Software Engineering),Faculty of Computer and Informatics,Computing & IT,960,East
UMS,Bachelor of Computer Science With Honours (Networking And System Management),Faculty of Computer and Informatics,Computing & IT,960,East
UMS,Bachelor of Science With Honours (Multimedia Technology),Faculty of Computer and Informatics,Computing & IT,960,East
UMS,Bachelor of Information Technology With Honours (E-Commerce),Faculty of Computer and Informatics,Computing & IT,960,East
UMS,Bachelor of Food Science with Honours (Food Service),Faculty of Food Science and Nutrition,Manufacturing & Processing,960,East
UMS,Bachelor of Food Science With Honours (Food Science & Nutrition),Faculty of Food Science and Nutrition,Manufacturing & Processing,960,East
UMS,Bachelor of Food Science With Honours (Food Technology And Bioprocessing),Faculty of Food Science and Nutrition,Manufacturing & Processing,960,East
UPM,Bachelor of Agricultural Science,Faculty of Agriculture,"Agriculture, Forestry, Fishery & Veterinary",660,West
UPM,Bachelor of Horticultural Science,Faculty of Agriculture,"Agriculture, Forestry, Fishery & Veterinary",660,West
UPM,Bachelor of Agriculture (Aquaculture),Faculty of Agriculture,"Agriculture, Forestry, Fishery & Veterinary",660,East/West
UPM,Bachelor of Agriculture (Animal Science),Faculty of Agriculture,"Agriculture, Forestry, Fishery & Veterinary",660,West
UPM,Bachelor of Science (Agribusiness),Faculty of Agriculture,Business Management & Administration,660,West
UPM,Bachelor of Forestry Science,Faculty of Forestry,"Agriculture, Forestry, Fishery & Veterinary",660,East/West
UPM,Bachelor of Wood Science Technology,Faculty of Forestry,"Agriculture, Forestry, Fishery & Veterinary",660,West
UPM,Bachelor of Economics,Faculty of Economics and Management,Social Services,550,West
UPM,Bachelor of Accountancy,Faculty of Economics and Management,Accounting & Finance,550,West
UPM,Bachelor of Business Administration,Faculty of Economics and Management,Business Management & Administration,550,West
UPM,Bachelor of Engineering (Civil),Faculty of Engineering,Engineering,700,West
UPM,Bachelor of Engineering (Electrical and Electronics),Faculty of Engineering,Engineering,700,West
UPM,Bachelor of Engineering (Chemical),Faculty of Engineering,Engineering,700,West
UPM,Bachelor of Engineering (Agricultural and Biosystem),Faculty of Engineering,Engineering,700,West
UPM,Bachelor of Engineering (Mechanical),Faculty of Engineering,Engineering,700,West
UPM,Bachelor of Engineering (Aerospace),Faculty of Engineering,Engineering,700,West
UPM,Bachelor of Engineering (Process and Food),Faculty of Engineering,Engineering,700,West
UPM,"Bachelor of Engineering (Computer and Communication Systems)
",Faculty of Engineering,Engineering,700,West
UPM,Bachelor of Science (Human Resource Development),Faculty of Educational Studies,Education,550,West
UPM,Bachelor of Education (Physical Education),Faculty of Educational Studies,Education,550,West
UPM,Bachelor of Education (The Teaching of Bahasa Malaysia as a First Language),Faculty of Educational Studies,Education,550,West
UPM,Bachelor of Education (The Teaching of English as a Second Language),Faculty of Educational Studies,Education,550,West
UPM,Bachelor of Education (Home Science),Faculty of Educational Studies,Education,550,West
UPM,Bachelor of Science Honours Biology,Faculty of Science,Science,660,West
UPM,Bachelor of Science Honours Mathematics,Faculty of Science,Science,660,West
UPM,Bachelor of Science Honours Statistics,Faculty of Science,Science,660,West
UPM,Bachelor of Science Honours Physics,Faculty of Science,Science,660,West
UPM,Bachelor of Science Honours Chemistry,Faculty of Science,Science,660,West
UPM,Bachelor of Science Honours Industrial Chemistry,Faculty of Science,Science,660,West
UPM,Bachelor of Science Honours Petroleum Chemistry,Faculty of Science,Science,660,West
UPM,Bachelor of Science Honours Material Science,Faculty of Science,Science,660,West
UPM,Bachelor of Science Honours Instrumentation Science,Faculty of Science,Science,660,West
UPM,Bachelor of Science and Food Technology,Faculty of Food Science and Technology,Science,660,West
UPM,Bachelor of Science (Food Studies),Faculty of Food Science and Technology,Science,660,West
UPM,Bachelor of Science (Food Service Management),Faculty of Food Science and Technology,Science,660,West
UPM,Bachelor of Music (Music Performance),Faculty of Human Ecology,Arts & Design,550,West
UPM,Bachelor of Science (Human Development),Faculty of Human Ecology,Business Management & Administration,550,West
UPM,Bachelor of Communication,Faculty of Modern Languages and Communication,Communication & Broadcasting,550,West
UPM,Bachelor of Arts (English Language),Faculty of Modern Languages and Communication,Arts & Design,550,West
UPM,Bachelor of Arts (Malay Language and Linguistics),Faculty of Modern Languages and Communication,Arts & Design,550,West
UPM,Bachelor of Science (Biomedical Sciences),Faculty of Medicine and Health Science,Medicine & Healthcare,660,West
UPM,Bachelor of Science (Dietetics),Faculty of Medicine and Health Science,Medicine & Healthcare,660,West
UPM,Bachelor of Science (Nutrition and Community Health),Faculty of Medicine and Health Science,Medicine & Healthcare,660,West
UPM,Bachelor of Science (Environmental and Occupational Health),Faculty of Medicine and Health Science,Medicine & Healthcare,660,West
UPM,Bachelor of Science (Nursing),Faculty of Medicine and Health Science,Medicine & Healthcare,660,West
UPM,Bachelor of Landscape Architecture,Faculty of Design and Archtecture,Architecture & Building,660,West
UPM,Bachelor of Design (Industrial Design),Faculty of Design and Archtecture,Architecture & Building,660,West
UPM,Bachelor of Computer Science Major In Computer System,Faculty of Computer Science and Information Technology,Computing & IT,660,West
UPM,Bachelor of Computer Science Major In Multimedia,Faculty of Computer Science and Information Technology,Computing & IT,660,West
UPM,Bachelor of Computer Science Major In Software Engineering,Faculty of Computer Science and Information Technology,Computing & IT,660,West
UPM,Bachelor of Computer Science Major In Computer Network,Faculty of Computer Science and Information Technology,Computing & IT,660,West
UPM,Bachelor of Science (Honours) Biotechnology,Faculty of Biotechnology and Biomolecular Sciene,Science,660,West
UPM,Bachelor of Science Honours Biochemistry,Faculty of Biotechnology and Biomolecular Sciene,Science,660,West
UPM,Bachelor of Science Honours Microbiology,Faculty of Biotechnology and Biomolecular Sciene,Science,660,West
UPM,Bachelor of Science (Honours) (Molecular and Cell Biology),Faculty of Biotechnology and Biomolecular Sciene,Science,660,West
UPM,Bachelor of Science and Environmental Technology,Faculty of Environmental Studies,Environmental Protection,660,West
